"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"AD7CNTP","Alzheimer disease neuronal thread protein","",,,,
"ALPQTL2","Alkaline phosphatase, plasma level of, QTL 2","","N","N","N","N"
"ANON1","Anorexia nervosa, susceptibility to, 1","","N","N","N","N"
"BCC1","Basal cell carcinoma, susceptibility to, 1","","N","N","N","N"
"BMND3","Bone mineral density QTL 3","","N","N","N","N"
"CMM, MLM, DNS","Cutaneous malignant melanoma/dysplastic nevus","CMM","N","Y","N","N"
"CTRCT8, CCV","Cataract, congenital, Volkmann type","CCV","N","Y","N","N"
"DEL1p36, C1DELp36","Chromosome 1p36 deletion syndrome","","N","N","N","Y"
"DYX8","Dyslexia, susceptibility to, 8","DYX8","N","Y","N","N"
"ERPL1, HLM2","Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)","",,,,
"IBD7","Inflammatory bowel disease 7","IBD7","N","N","N","N"
"MS4","Multiple sclerosis, susceptibility to, 4","","N","N","N","N"
"MYP14","Myopia 14","MYP14","N","N","N","N"
"PSORS7","Psoriasis susceptibility 7","PSORS7","N","N","N","N"
"PTPRZ2","Protein-tyrosine phosphatase, receptor-type, zeta-2","PTPRZ2",,,,
"SAI1, MTS1, TFS1","Suppression of anchorage independence-1 (malignant transformation suppression-1)","SAI1",,,,
"SCAR4, SCASI","Spinocerebellar ataxia, autosomal recessive 4","SCASI","Y","N","N","N"
"SAMD11, MRS","Sterile alpha motif domain-containing protein 11","SAMD11",,,,
"NOC2L, NIR","Nucleolar complex-associated protein 2, S. cerevisiae, homolog of","NOC2L",,,,
"PERM1, C1orf170","PPARGC1-and ESRR-induced regulator, muscle, 1","PERM1",,,,
"HES4","Hairy/enhancer of split, Drosophila, homolog of, 4","HES4",,,,
"ISG15, G1P2, IFI15, IMD38","ISG15 ubiquitin-like modifier","ISG15","Y","N","N","N"
"AGRN, CMS8","Agrin","AGRN","Y","N","N","N"
"MIR200B, MIRN200B","Micro RNA 200B","MIR200B",,,,
"MIR200A, MIRN200A","Micro RNA 200A","MIR200A",,,,
"MIR429, MIRN429","Micro RNA 429","MIR429",,,,
"TNFRSF18, AITR, GITR","Tumor necrosis factor receptor superfamily, member 18","TNFRSF18",,,,
"TNFRSF4, TXGP1L, OX40, ACT35, IMD16","Tumor necrosis factor receptor superfamily, member 4","TNFRSF4","Y","N","N","N"
"SDF4, CAB45","Stromal cell-derived factor 4","SDF4",,,,
"B3GALT6, SEMDJL1, EDSP2","UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6","B3GALT6","Y","N","N","N"
"FAM132A, C1QDC2, C1QTNF12","Family with sequence similarity 132, member A","FAM132A",,,,
"SCNN1D","Sodium channel, voltage-gated, type I, delta polypeptide","SCNN1D",,,,
"CPSF3L, INTS11, RC68","Cleavage and polyadenylation-specific factor 3-like","CPSF3L",,,,
"GLTPD1, CPTP","Glycolipid transfer protein domain-containing protein 1","CPTP",,,,
"TAS1R3, T1R3","Taste receptor type 1, member 3","TAS1R3",,,,
"DVL1, DRS2","Dishevelled 1 (homologous to Drosophila dsh)","DVL1","N","Y","N","N"
"AURKAIP1, AKIP, AIP","Aurora kinase A-interacting protein 1","AURKAIP1",,,,
"CCNL2","Cyclin L2","CCNL2",,,,
"MRPL20","Mitochondrial ribosomal protein L20","MRPL20",,,,
"VWA1, WARP","von Willebrand factor A domain-containing protein 1","VWA1",,,,
"ATAD3B, TOB3, KIAA1273","ATPase family, AAA domain-containing, member 3B","ATAD3B",,,,
"ATAD3A","ATPase family, AAA domain-containing, member 3A","ATAD3A",,,,
"TMEM240, C1orf70, SCA21","Transmembrane protein 240","TMEM240","N","Y","N","N"
"MIB2","Mindbonb, Drosophila, homolog of, 2","MIB2",,,,
"MMP23B, MMP22","Matrix metalloproteinase 23B","MMP23B",,,,
"CDK11B, CDC2L1, P58, CDK11","Cyclin-dependent kinase 11B","CDK11B",,,,
"MMP23A, MMP21, MIFR","Matrix metalloproteinase 23A","MMP23A",,,,
"CDK11A, CDC2L2","Cyclin-dependent kinase 11A","CDK11A",,,,
"NADK","NAD kinase","NADK",,,,
"GNB1, MRD42","Guanine nucleotide-binding protein, beta polypeptide-1","GNB1","N","Y","N","N"
"CALML6, CAGLP","Calmodulin-like 6","CALML6",,,,
"GABRD, GEFSP5, EIG10, EJM7","Gamma-aminobutyric acid (GABA) A receptor, delta","GABRD","N","Y","N","N"
"PRKCZ, PKC2","Protein kinase C, zeta form","PRKCZ",,,,
"C1orf86, FAAP20","Chromosome 1 open reading frame 86","FAAP20",,,,
"SKI, SGS","Avian sarcoma viral (v-ski) oncogene homolog","SKI","N","Y","N","N"
"DYT13","Dystonia 13, torsion","DYT13","N","Y","N","N"
"KONDS","Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)","","Y","N","N","N"
"PEX10, NALD, PBD6A, PBD6B","Peroxisome biogenesis factor 10","PEX10","Y","N","N","N"
"PLCH2, PLCL4","Phospholipase C, eta-2","PLCH2",,,,
"PANK4","Pantothenate kinase 4","PANK4",,,,
"HES5","Hairy/enhancer of split, Drosophila, homolog of, 5","HES5",,,,
"TNFRSF14, HVEM, TR2","Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)","TNFRSF14",,,,
"ACTRT2, ARPT2, ARPM2","Actin-related protein T2","ACTRT2",,,,
"PRDM16, MEL1, LVNC8, CMD1LL","PR domain-containing protein 16","PRDM16","N","Y","N","N"
"MEGF6, EGFL3","Multiple epidermal growth factor-like domains 6","MEGF6",,,,
"MIR551A","Micro RNA 551A","MIR551A",,,,
"TPRG1L, FAM79A","Tumor protein p63 regulated 1-like","TPRG1L",,,,
"WDR8","WD repeat-containing protein 8","WRAP73",,,,
"TP73","p53-related protein","TP73","N","N","N","N"
"SMIM1, VEL","Small integral membrane protein 1","SMIM1","Y","N","N","N"
